City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Zhuhai,CN,2022-07-20 21:51:47,few clouds,22.2769,113.5678,85.78,89,20,10.36
158,Esperance,AU,2022-07-20 21:53:51,light rain,-33.8667,121.9,62.51,52,100,21.27
159,Banda Aceh,ID,2022-07-20 21:53:52,overcast clouds,5.5577,95.3222,79.99,71,100,14.45
160,Katsuura,JP,2022-07-20 21:53:52,broken clouds,35.1333,140.3,78.82,82,64,9.1
161,Cidreira,BR,2022-07-20 21:49:25,clear sky,-30.1811,-50.2056,61.97,91,0,16.2
162,Georgetown,MY,2022-07-20 21:53:52,few clouds,5.4112,100.3354,80.89,91,20,1.14
163,Saint-Pierre,RE,2022-07-20 21:53:53,clear sky,-21.3393,55.4781,67.68,64,0,13.8
164,Leh,IN,2022-07-20 21:53:53,overcast clouds,34.1667,77.5833,62.53,20,100,9.48
165,Hasaki,JP,2022-07-20 21:53:53,overcast clouds,35.7333,140.8333,77.4,79,99,7.49
166,Tuatapere,NZ,2022-07-20 21:53:54,overcast clouds,-46.1333,167.6833,43.47,84,100,2.86
167,Chelno-Vershiny,RU,2022-07-20 21:53:54,scattered clouds,54.4333,51.1,54.72,92,47,4.45
168,Trstena,SK,2022-07-20 21:53:54,clear sky,49.361,19.6125,68.58,70,10,2.51
169,Mayumba,GA,2022-07-20 21:53:55,overcast clouds,-3.432,10.6554,70.39,93,88,7.76
170,Terrace,CA,2022-07-20 21:50:36,broken clouds,54.5163,-128.6035,71.51,56,75,5.75
171,Bethel,US,2022-07-20 21:52:54,clear sky,41.3712,-73.414,97.18,52,0,0.0
172,Sao Jose Da Coroa Grande,BR,2022-07-20 21:53:55,scattered clouds,-8.8978,-35.1478,74.48,89,43,12.44
173,Areka,ET,2022-07-20 21:53:55,light rain,7.0667,37.7,58.24,93,97,1.61
174,Nanakuli,US,2022-07-20 21:49:43,broken clouds,21.3906,-158.1547,84.15,54,75,12.66
175,Geraldton,AU,2022-07-20 21:53:56,overcast clouds,-28.7667,114.6,66.61,94,100,19.57
176,Honningsvag,NO,2022-07-20 21:53:56,fog,70.9821,25.9704,49.75,100,84,1.14
177,Marolambo,MG,2022-07-20 21:53:56,broken clouds,-20.05,48.1167,58.73,99,81,1.63
178,Klaksvik,FO,2022-07-20 21:53:57,overcast clouds,62.2266,-6.589,49.12,91,98,18.7
179,Yakeshi,CN,2022-07-20 21:53:57,clear sky,49.2833,120.7333,66.49,73,4,1.61
180,Aklavik,CA,2022-07-20 21:53:57,broken clouds,68.2191,-135.0107,64.4,68,75,5.75
181,Suntar,RU,2022-07-20 21:53:57,overcast clouds,62.1444,117.6319,57.38,92,100,3.78
182,Fort Nelson,CA,2022-07-20 21:53:58,scattered clouds,58.8053,-122.7002,74.79,33,40,2.3
183,Argos,GR,2022-07-20 21:53:58,clear sky,37.6333,22.7333,79.29,41,0,4.61
184,Sitka,US,2022-07-20 21:52:57,light rain,57.0531,-135.33,53.49,87,100,5.75
185,Dolores,AR,2022-07-20 21:50:33,scattered clouds,-36.3132,-57.6792,53.8,73,48,8.81
186,Saldanha,ZA,2022-07-20 21:54:59,clear sky,-33.0117,17.9442,39.25,64,0,10.89
187,Chuy,UY,2022-07-20 21:54:59,clear sky,-33.6971,-53.4616,55.89,95,2,6.49
188,Dunedin,NZ,2022-07-20 21:52:01,overcast clouds,-45.8742,170.5036,43.81,71,100,15.01
189,Shenjiamen,CN,2022-07-20 21:54:59,broken clouds,29.9576,122.298,78.49,94,55,5.03
190,Hilo,US,2022-07-20 21:55:00,scattered clouds,19.7297,-155.09,85.28,90,40,1.99
191,Provideniya,RU,2022-07-20 21:55:00,broken clouds,64.3833,-173.3,44.71,76,75,22.37
192,Luganville,VU,2022-07-20 21:55:00,scattered clouds,-15.5333,167.1667,81.19,80,44,9.37
193,Abonnema,NG,2022-07-20 21:55:01,overcast clouds,4.7084,6.7931,76.01,77,100,7.74
194,Gat,IL,2022-07-20 21:55:01,clear sky,31.61,34.7642,79.48,100,0,4.23
195,Yar-Sale,RU,2022-07-20 21:52:32,clear sky,66.8333,70.8333,48.11,76,7,9.53
196,Antalaha,MG,2022-07-20 21:55:01,light rain,-14.9003,50.2788,67.08,85,42,10.16
197,Sambava,MG,2022-07-20 21:55:02,light rain,-14.2667,50.1667,69.03,83,42,13.35
198,Kodiak,US,2022-07-20 21:55:02,overcast clouds,57.79,-152.4072,53.73,83,100,11.01
199,Severo-Kurilsk,RU,2022-07-20 21:55:02,light rain,50.6789,156.125,52.34,97,98,11.34
200,Abalak,RU,2022-07-20 21:55:03,light rain,58.1286,68.5944,59.49,96,100,2.55
201,Ilulissat,GL,2022-07-20 21:55:03,overcast clouds,69.2167,-51.1,48.88,63,100,6.62
202,Stokmarknes,NO,2022-07-20 21:55:03,overcast clouds,68.5646,14.9108,58.98,77,100,11.5
203,Torbay,CA,2022-07-20 21:55:04,broken clouds,47.6666,-52.7314,67.39,78,75,18.41
204,Sao Filipe,CV,2022-07-20 21:55:04,broken clouds,14.8961,-24.4956,76.51,88,75,5.82
205,Walvis Bay,NA,2022-07-20 21:50:30,clear sky,-22.9575,14.5053,55.09,82,0,4.61
206,Chumphon,TH,2022-07-20 21:55:04,light rain,10.3333,98.8333,70.81,97,100,5.41
207,Talnakh,RU,2022-07-20 21:55:05,overcast clouds,69.4865,88.3972,52.21,74,100,5.23
208,Nanortalik,GL,2022-07-20 21:55:05,few clouds,60.1432,-45.2371,50.36,85,16,13.94
209,Mahebourg,MU,2022-07-20 21:55:05,light intensity shower rain,-20.4081,57.7,68.29,83,75,24.16
210,Tual,ID,2022-07-20 21:55:06,overcast clouds,-5.6667,132.75,78.6,77,100,18.52
211,Alakurtti,RU,2022-07-20 21:55:06,overcast clouds,66.9672,30.3491,58.19,91,95,3.85
212,Kavaratti,IN,2022-07-20 21:55:06,light rain,10.5669,72.642,81.05,79,100,19.33
213,Haines Junction,CA,2022-07-20 21:55:06,overcast clouds,60.7522,-137.5108,55.35,54,100,6.91
214,Olinda,BR,2022-07-20 21:55:07,mist,-8.0089,-34.8553,74.93,88,100,12.66
215,Sobolevo,RU,2022-07-20 21:55:07,overcast clouds,54.4299,31.8996,59.27,60,95,14.83
216,Sapa,PH,2022-07-20 21:55:07,broken clouds,5.1544,120.3241,80.69,79,53,2.24
217,Lata,PT,2022-07-20 21:55:08,clear sky,40.1629,-8.3327,60.6,89,0,1.63
218,Karoi,ZW,2022-07-20 21:55:08,overcast clouds,-16.8099,29.6925,60.49,64,91,6.4
219,Saint-Georges,GD,2022-07-20 21:55:08,scattered clouds,12.0564,-61.7485,80.28,83,40,8.05
220,Nakuru,KE,2022-07-20 21:55:09,overcast clouds,-0.2833,36.0667,57.99,79,100,7.78
221,Anloga,GH,2022-07-20 21:55:09,scattered clouds,5.7947,0.8973,75.31,75,32,10.76
222,Paamiut,GL,2022-07-20 21:50:56,overcast clouds,61.994,-49.6678,50.22,84,90,15.32
223,Adre,TD,2022-07-20 21:55:09,overcast clouds,13.4667,22.2,74.57,70,100,9.4
224,Harper,LR,2022-07-20 21:55:10,overcast clouds,4.375,-7.7169,75.38,71,99,8.66
225,Homer,US,2022-07-20 21:55:10,overcast clouds,59.6425,-151.5483,59.04,86,85,11.99
226,Kamenka,RU,2022-07-20 21:55:10,light rain,51.3223,42.7678,56.64,89,78,8.03
227,Rocha,UY,2022-07-20 21:52:26,few clouds,-34.4833,-54.3333,55.67,91,13,7.54
228,Soe,ID,2022-07-20 21:55:11,overcast clouds,-9.8607,124.284,64.08,92,99,4.14
229,Tessalit,ML,2022-07-20 21:55:11,overcast clouds,20.1986,1.0114,75.7,70,99,12.57
230,Ajdabiya,LY,2022-07-20 21:55:11,clear sky,30.7554,20.2263,76.1,44,0,12.46
231,Tura,IN,2022-07-20 21:55:12,light rain,25.5198,90.2201,74.23,97,100,5.7
232,Macomer,IT,2022-07-20 21:56:12,clear sky,40.262,8.7699,75.34,64,0,1.72
233,Port Hedland,AU,2022-07-20 21:56:12,clear sky,-20.3167,118.5667,55.45,71,0,4.61
234,Udachnyy,RU,2022-07-20 21:56:12,light rain,66.4167,112.4,52.09,75,100,8.59
235,Pangnirtung,CA,2022-07-20 21:56:13,light rain,66.1451,-65.7125,50.0,76,100,5.75
236,Chapais,CA,2022-07-20 21:56:13,overcast clouds,49.7834,-74.8492,73.18,53,86,3.42
237,Zaykovo,RU,2022-07-20 21:56:13,clear sky,57.5613,62.7568,53.74,92,6,6.13
238,Carlos Antonio Lopez,PY,2022-07-20 21:56:14,few clouds,-26.4,-54.7667,68.07,80,13,3.13
239,Tiksi,RU,2022-07-20 21:56:14,overcast clouds,71.6872,128.8694,39.09,88,86,19.84
240,Carnarvon,AU,2022-07-20 21:56:14,scattered clouds,-24.8667,113.6333,71.64,76,42,13.96
241,Alofi,NU,2022-07-20 21:56:15,broken clouds,-19.0595,-169.9187,76.89,73,75,9.22
242,San Patricio,US,2022-07-20 21:52:24,few clouds,28.017,-97.5169,95.72,50,19,20.96
